CUSTOMER_NUMBER,CLIENT_SEX,STAFF_VIB,Age,net_lending,net_ca,net_td,avg_act,avg_trans,ytd_creditcard,open_creditcard,ytd_debitcard,open_debitcard
559859,F,N,36,0,-19917359,0,95.16666667,13.33333333,0,0,1,0
885404,F,N,22,0,219393.33,0,91.83333333,12,0,0,1,0
248478,M,N,25,0,-91212.55,-96774193.55,208.6666667,3,0,0,1,0
331550,F,N,28,0,97183.04,0,61.83333333,2.666666667,0,0,1,0
156784,M,N,20,0,2765645.23,0,99.83333333,5.4,0,0,1,0
502493,M,N,19,0,104989164.3,0,101.3333333,12.83333333,0,0,1,0
681975,F,N,40,0,64288157.42,-420825806.5,119.1666667,16.33333333,0,0,0,0
103193,M,Y,28,0,-756843.07,0,140.3333333,6.166666667,1,1,1,0
797151,M,N,55,0,-5958217.2,0,120.3333333,0,0,0,1,0
347913,F,N,34,0,4104262.62,0,183.5,1,0,0,1,0
453888,F,N,24,0,-194607.07,12333333.33,160.8333333,3.833333333,0,0,1,0
56920,F,Y,23,-22582297,3010173.83,0,374.5,15.6,1,0,2,1
147163,M,N,32,0,18941948.39,0,112,3.5,0,0,1,0
185174,F,N,32,12309653,502192.67,0,20.83333333,1,1,0,0,0
302340,F,N,41,0,24026.8,0,21.25,0,0,0,0,0
161507,M,N,35,0,19794440.86,0,231.5,8.2,0,0,1,0
211199,M,N,42,0,-211092.68,0,41.16666667,0,0,0,1,0
281510,M,N,29,-25047633,-80681.94,0,51,0,1,0,0,0
170259,F,Y,22,862100,2537789.45,0,172.5,5.666666667,1,1,1,0
559549,F,N,55,0,0,101677419.4,42.66666667,0,0,0,0,0
982610,M,N,32,0,18653058.06,0,174,4.166666667,0,0,1,0
669522,M,N,27,0,-53234.41,0,26.2,1.5,0,0,1,0
25707,M,N,24,0,5248588.78,0,172,3.4,0,0,1,0
783729,M,N,26,0,1898410.82,39354838.71,148.6666667,2.5,0,0,1,0
635908,M,N,38,0,-10958855.29,0,132.6666667,7.333333333,0,0,1,0
288567,F,N,27,0,215964046.9,137230645.2,355.8333333,11.66666667,0,0,1,0
86074,F,N,30,0,1606999.78,0,84.83333333,7.833333333,0,0,1,0
935840,M,N,38,0,11213336.88,0,51,1,0,0,1,0
702986,F,N,40,0,1113.68,103225806.5,73.5,0,0,0,0,0
407430,M,Y,30,0,8711528.78,0,108.3333333,5.833333333,0,0,1,0
29650,M,N,28,0,31960709.68,0,93.66666667,10.2,0,0,1,0
401983,F,N,42,0,8238448.93,0,227.3333333,14.83333333,0,0,1,0
313149,M,N,30,0,1958901.11,0,93,5,0,0,1,0
63734,M,N,45,0,-9901390.22,0,86,3,0,0,1,0
432847,M,N,32,0,-885763.65,0,74.66666667,10.83333333,0,0,1,0
434988,M,Y,35,766097,-178151.91,0,215,11.66666667,1,0,0,0
972537,F,N,38,-8874167,315710.12,0,67.33333333,0,0,0,0,0
318469,M,N,30,0,4828430.1,0,58.33333333,1.5,0,0,1,0
438964,M,N,23,-8387233,-8517486.68,0,297,7.75,0,0,0,0
833386,M,N,31,930560000,3889505.3,0,95.66666667,0,0,0,1,0
158435,F,N,23,0,14811466.86,0,76.8,2.333333333,0,0,1,0
437417,M,N,28,0,-854061.9,0,74.5,2,0,0,1,0
550109,M,N,24,0,1040085.4,64516129.03,264.5,10,0,0,1,0
268968,F,N,41,0,20461205.86,111935483.9,283.3333333,21,0,0,0,0
377423,M,N,35,988888000,29726095.39,226697352.9,54.33333333,2.666666667,0,0,0,0
828712,F,N,27,0,54852258.33,0,57.83333333,3,0,0,1,0
814681,F,N,28,0,66085872.36,0,50.83333333,7,0,0,1,0
194645,F,N,31,0,6067093.57,0,77.16666667,10.6,0,0,1,0
648237,F,N,25,0,11107924.81,0,129.1666667,11.8,0,0,1,0
923622,F,N,26,0,1220821.34,0,36.5,4.6,0,0,1,0
600896,M,N,31,0,-69290.32,0,44,1.666666667,0,0,1,0
382351,F,N,27,0,14922624.96,56666666.67,115.5,10.83333333,1,1,2,1
959208,F,N,24,0,301938.16,0,51.83333333,6.666666667,0,0,1,0
134357,F,N,22,0,446074.18,0,335.1666667,28,0,0,1,0
936917,F,N,25,0,352658.03,0,129,8.333333333,0,0,2,1
788344,F,N,25,0,7543886.91,0,84.16666667,4.666666667,0,0,1,0
637810,F,N,29,0,4483999.13,0,70.16666667,6.2,0,0,1,0
585824,F,N,25,0,3430958.26,0,206.3333333,10.33333333,0,0,1,0
96146,F,N,28,0,1989850.45,0,98.83333333,4.4,0,0,2,1
956305,F,N,25,1402106,-334761.77,0,300.6666667,5.4,1,1,1,0
775197,F,N,27,0,2913015.18,0,26,2.8,0,0,1,0
924581,F,N,24,0,1203887.55,0,123.6666667,11.66666667,0,0,1,0
553092,F,N,28,-217800,-2747291.45,0,23,1,1,0,0,0
918637,F,N,29,0,1767000.93,17333333.33,73.66666667,7.5,0,0,1,0
78275,F,N,25,46941676,2419000,0,99.83333333,1,2,1,0,0
715029,F,N,38,0,47366703.19,0,13.5,1.75,0,0,1,0
460106,M,N,26,0,-4482163.44,0,44.33333333,4.25,0,0,1,0
262123,F,N,24,0,1024751.61,0,102.5,6.5,0,0,1,0
795761,M,N,30,-347083000,971382.16,0,426.8333333,14.83333333,0,0,1,0
568115,F,N,25,0,0,11747311.83,31.6,0,0,0,0,0
80083,M,N,36,-12880350,-12802873.9,0,146,1,1,0,1,0
480402,M,N,31,-13099097,161802.13,0,74.83333333,3,1,1,1,0
479742,M,N,31,0,-600991.39,0,153.1666667,4.5,0,0,1,0
395186,F,N,34,0,-18890562.58,0,277.6666667,5,0,0,2,1
337090,M,N,29,0,-4740135.48,0,212.1666667,3.5,0,0,1,0
97079,M,N,39,0,-22074993.76,0,235.3333333,6.4,0,0,1,1
677251,F,N,24,0,8071340,0,95.33333333,3.2,0,0,1,0
913199,F,N,23,0,10545390.8,30000000,33.25,1,0,0,0,0
277733,M,N,47,-66250000,-155562.61,0,117.1666667,2,0,0,2,1
491569,M,N,35,0,2027524.73,0,25.2,0,0,0,1,0
246436,M,N,21,0,-2569426.38,0,126,8.333333333,0,0,1,0
725296,F,N,29,0,0,1000305753,67.16666667,0,0,0,1,0
692741,F,N,32,0,-5427201.29,0,121.5,2.333333333,0,0,2,1
247579,F,N,34,0,0,0,48.16666667,0,0,0,0,0
724589,F,N,20,0,318862.81,1000000,54.83333333,1.333333333,0,0,1,0
194304,M,N,35,-37641470,0,0,135.8333333,0,1,0,0,0
150678,M,N,40,0,0,321806451.6,24.8,0,0,0,0,0
222948,F,N,20,0,3121846.83,0,92.66666667,3,0,0,1,0
191821,F,N,25,0,-966409.62,-741935.48,144.1666667,1.166666667,0,0,1,0
16940,F,N,23,0,185129.92,0,155.6666667,9.166666667,0,0,1,0
971524,M,N,43,-16428570,-27497.63,0,122.1666667,0,0,0,1,0
65171,F,N,31,-16665000,-2599317.45,0,66.66666667,0,0,0,1,0
939307,F,N,24,0,55815012.51,0,106,3.5,0,0,1,0
103529,F,N,29,-35357145,-4294957.64,0,167.5,2,0,0,1,0
599933,M,Y,26,1374010,61365623.96,0,92.83333333,6.666666667,1,1,1,0
478550,M,N,31,0,1273995.77,0,26.75,0,0,0,0,0
135288,M,N,34,0,-7633404.3,0,73.16666667,9.2,0,0,1,0
414672,F,N,43,40791749,2602707.5,0,179.3333333,1.333333333,1,1,0,0
120554,M,N,32,-184725000,2982192.69,0,89.75,11.33333333,0,0,1,0
105797,F,Y,28,0,22711.51,0,845.1666667,76.83333333,0,0,1,0
785274,M,Y,30,0,190100,0,152.6666667,1,1,1,0,0
435377,M,N,22,0,5262139.35,0,139.8333333,5,0,0,1,0
736157,M,N,26,0,-87978.06,0,80.33333333,3.6,0,0,1,0
934774,M,N,34,-39900000,71720914.85,0,97.66666667,3.666666667,0,0,1,0
106640,M,N,19,0,-73419.35,0,36.5,1,0,0,1,0
917275,F,N,26,0,-2610445.16,0,65,2.666666667,0,0,1,0
611618,M,N,24,21800000,2420889.03,0,90.5,3.6,1,1,1,0
137982,F,N,46,4179663,4038277,1100000000,81.66666667,3.333333333,1,0,0,0
74612,M,N,32,-48600000,21114230.81,0,30.83333333,2,0,0,0,0
784953,F,N,36,1300000000,87103.33,0,16,0,0,0,0,0
999634,M,N,25,-19818661,1674522.65,0,95.16666667,1.666666667,1,0,0,0
961943,F,N,31,0,713721.6,0,61.66666667,3.5,0,0,1,0
822328,M,N,33,-19440000,-25446450.95,0,140.5,2,0,0,1,0
602100,F,N,37,1584216,205644.88,0,58.83333333,0,1,0,0,0
971063,M,N,44,-3206046,660421.85,0,288.1666667,3.666666667,0,0,0,0
96630,F,N,33,510000,124626.67,0,82.33333333,3.8,1,0,0,0
868534,M,N,25,0,34850169.15,0,24.5,2.4,0,0,1,0
844115,F,N,33,130000000,-5283896.77,0,46.8,11,0,0,1,0
438699,F,N,35,0,-542744.84,0,61.83333333,4,0,0,1,0
825792,F,N,24,-50000000,11343.71,0,13,0,0,0,0,0
614833,M,N,25,0,8792811.48,0,122,8.166666667,0,0,1,0
130905,F,N,33,300000000,-135806.45,0,28.8,1.5,0,0,0,0
736233,F,N,24,0,1928013.51,0,64,6.5,0,0,1,0
391136,F,N,41,0,0,8080645.16,59.5,0,0,0,0,0
956707,M,N,27,0,5274038.28,0,77.16666667,5.8,0,0,2,1
405899,M,N,25,0,7985906.52,0,110.1666667,5.833333333,0,0,1,0
245096,M,N,22,0,-71407.36,0,124.6666667,8.666666667,0,0,1,0
428849,M,N,29,0,1400425.91,0,288.3333333,16.5,0,0,1,0
684913,M,N,25,-1216342,-854394.46,0,42.83333333,3.333333333,1,0,0,0
858575,M,N,41,208643,0,0,31,1,1,0,0,0
324705,F,Y,23,0,3761159.75,200000,328.3333333,6,1,1,1,0
481951,F,Y,25,0,520906.01,0,180,3.333333333,0,0,0,0
614327,F,N,36,0,-7078654.37,0,28.5,4.25,0,0,0,0
258527,M,N,34,-17860000,1167275.77,0,66.33333333,1,0,0,0,0
905307,M,N,43,0,2557519.14,0,17.33333333,1,0,0,0,0
999262,M,N,46,0,-2673585.16,0,140,1.5,0,0,0,0
513183,M,N,40,0,-5687764.52,0,12.66666667,1,0,0,0,0
539722,M,N,43,0,1855146.02,0,13,1,0,0,0,0
536459,M,N,42,0,48930.97,0,13,1,0,0,0,0
606156,F,N,18,0,1444221.8,0,162.3333333,5.166666667,0,0,1,0
131939,M,N,37,-8350000,-239464.87,0,104.3333333,3.5,0,0,1,0
751738,F,N,30,3013767,139833,-90483870.97,67.83333333,1.4,1,0,0,0
801331,F,Y,27,0,299795.07,0,311.6666667,15,0,0,0,0
987430,M,N,32,5018122,303777.67,0,136,2.2,1,0,0,0
104466,F,N,31,-7736920,-8999357.61,0,65.16666667,3.8,0,0,0,0
420138,M,N,22,0,4408143.55,0,29,2,0,0,1,0
142913,M,N,35,0,26868498.18,0,70.4,4,0,0,1,0
791588,M,N,42,0,-687643.01,0,138,3.5,0,0,1,1
704126,F,N,23,0,-21916.15,-180645161.3,129.1666667,1.5,0,0,1,0
91021,F,N,42,0,-27290470.14,0,472.8333333,70.33333333,0,0,1,0
587195,M,N,31,-28190124,-2559073.2,0,250,1,1,0,1,0
990655,M,N,44,0,0,0,36.66666667,0,0,0,0,0
487140,F,N,25,0,18842637.32,0,88.5,6.833333333,0,0,1,0
366897,M,N,40,591570000,-14826184.13,0,81.66666667,1.4,1,1,1,0
104526,F,N,41,0,-1444406.94,0,58,1,0,0,0,0
362500,M,N,39,0,6251416.17,72177419.36,95.33333333,3.166666667,0,0,0,0
43317,F,N,45,-300000000,-51989713.77,1042117411,44.66666667,4.75,0,0,1,0
969801,M,N,41,0,2841530.24,0,64.6,5.5,0,0,0,0
614112,M,N,32,0,35174.19,0,97.33333333,7.5,0,0,1,0
985595,M,N,32,0,2020042.09,0,60.66666667,3.2,1,1,1,0
731706,M,N,22,0,16106183.44,0,123.8333333,14.6,0,0,1,0
502241,F,N,33,-3799364,7969032.07,151680425.7,185.5,4.5,1,0,1,1
799268,M,N,51,15341385,-78855.29,0,100.1666667,2.25,2,0,1,0
451388,F,N,37,-26610000,38416.92,0,44,3.333333333,0,0,0,0
953689,F,Y,32,0,2683286.4,0,189.8333333,6.333333333,0,0,1,0
25960,F,N,26,-33230000,26734748.18,0,381.3333333,7.25,0,0,0,0
822283,F,N,30,0,37606426.87,147674733.3,183.6666667,8,0,0,0,0
418043,F,N,22,0,6775937.17,0,144.1666667,9.666666667,0,0,1,0
343117,F,N,29,0,1029574.58,0,134.1666667,12.33333333,0,0,2,1
444350,F,N,22,0,2383134.12,0,74.33333333,5.5,0,0,1,0
19962,M,N,21,0,3808378.67,0,259.6666667,6.166666667,0,0,1,0
619344,F,N,23,0,4846964.46,2000000,277.1666667,3.6,0,0,1,0
439743,F,N,33,0,1145948.34,870967.74,155,3.333333333,0,0,1,0
747111,F,Y,27,34256737,1967389.7,0,227.1666667,16.66666667,1,0,1,1
929552,F,N,24,0,6593554.84,0,48.6,4.5,0,0,1,1
233887,F,N,30,0,3035531.55,0,104.3333333,2.75,0,0,1,0
871921,F,Y,23,0,39340862.39,0,168,14.2,0,0,2,1
351815,M,N,27,0,-664256.13,0,56.5,1.75,0,0,1,0
894099,M,N,33,0,66727.57,0,210,1,0,0,1,0
742952,M,N,20,0,114023.55,0,89.16666667,2.25,0,0,0,0
214318,F,N,20,0,129929302,0,534.3333333,25.83333333,0,0,2,1
862484,F,N,27,0,10736953.6,0,156.5,23,0,0,1,0
332212,M,N,38,-29600000,2844837.44,0,59.16666667,4.5,0,0,0,0
231099,M,N,29,316275000,54747.48,0,49,4,0,0,1,0
583529,M,N,28,0,925440.43,0,118.3333333,9.5,0,0,1,0
10276,M,N,32,0,33272244.09,0,182.8333333,10.5,0,0,1,0
974456,M,N,34,0,743819.82,36922580.65,57.83333333,1.5,0,0,0,0
582814,F,N,26,0,0,84193548.39,53,0,0,0,0,0
954995,F,N,18,0,1286587.96,0,116,2,0,0,1,0
808887,M,N,26,-27080000,-1954719.45,0,51,0,0,0,1,0
766239,F,N,34,0,822337.42,0,93.33333333,4.6,0,0,1,0
43986,M,N,24,0,8810933.78,0,62.66666667,2.333333333,0,0,1,0
858066,M,N,30,-6345742,1152415,0,134,1.2,1,0,0,0
110459,M,N,32,0,-299647.52,0,87.16666667,3.5,0,0,1,0
772002,M,N,37,-6220000,-820791.15,0,82.66666667,3.2,0,0,1,0
701447,M,N,35,0,371044.09,0,66,2,0,0,1,0
733159,M,N,34,-17350000,-18408672.21,0,126.4,3.166666667,0,0,1,0
548463,M,N,42,15610833,462000.33,270000000,69.83333333,1,1,0,0,0
690550,M,Y,27,-7902415,1806171.07,0,218.5,6,1,0,1,1
48223,M,N,30,-34725000,581650.06,0,22,0,0,0,1,0
848992,F,Y,22,0,6851216.22,0,332.1666667,15,0,0,1,0
829894,F,N,21,0,-4279638.03,0,104.1666667,4.666666667,0,0,1,0
93814,F,N,35,-227775000,68017694.62,-395161290.3,78.33333333,0,0,0,1,0
87621,M,N,29,-16628979,-1145705.62,0,819.5,1,1,0,0,0
639890,M,N,23,0,100288437.6,673676376.2,126.3333333,15.66666667,0,0,0,0
671084,M,N,30,0,21872319.81,0,42.16666667,2,0,0,1,0
218976,F,N,23,0,6045122.58,0,69.16666667,8.166666667,0,0,1,0
862109,M,N,23,0,1821692.35,0,96.66666667,7,0,0,1,0
169772,F,N,29,0,2192491.97,0,147.5,9.4,0,0,1,0
508621,F,N,21,0,1713672.88,0,112.3333333,8,0,0,1,0
362430,F,N,22,0,132422.91,0,57.66666667,7.333333333,0,0,1,0
94544,F,N,30,0,14156511.07,182935483.9,71.16666667,3,0,0,0,0
600815,M,N,37,-33250000,1660417.79,0,157.1666667,4.8,0,0,1,0
386106,M,N,22,0,-131881.72,0,88.2,1.75,0,0,1,0
512052,F,N,21,0,2686321.23,0,96.16666667,10.5,0,0,1,0
466496,F,N,26,7500000,0,6451612.9,30.83333333,0,1,0,0,0
520230,M,N,25,0,1214216.99,0,182.1666667,11,0,0,2,0
834445,M,N,41,0,1413503.33,0,87.5,3.166666667,0,0,1,0
127239,F,N,21,0,-398553.96,0,190,10,0,0,1,0
696945,F,N,30,0,-3318143.01,0,105.6666667,2.5,0,0,1,0
694140,M,N,32,0,-15381169.9,0,22.6,1,0,0,0,0
487469,M,N,26,0,318298478.1,0,449.1666667,11.66666667,0,0,1,0
5185,M,N,31,0,0,-96749168.88,91.16666667,0,1,1,0,0
666197,M,N,33,0,0,154838709.7,26.2,0,0,0,0,0
779412,F,N,35,0,41721088.96,-24387096.77,49.83333333,4.666666667,0,0,1,0
371914,M,N,20,0,4385067.5,0,89,1,0,0,1,0
797687,M,N,32,10915198,16714.97,0,21.33333333,0,1,0,0,0
272002,F,N,31,0,4466570.8,35434719.53,95.66666667,0,0,0,1,0
912244,F,N,18,0,1707822.88,2500000,144,6.833333333,0,0,1,0
629201,M,N,32,0,-3911352.68,0,172.1666667,12.5,0,0,1,0
93355,M,N,50,0,0,0,25.5,0,0,0,0,0
415917,M,N,33,0,-6280747.52,2089462366,63.2,0,0,0,0,0
641069,M,N,21,0,6756877.46,0,165.6666667,7,0,0,1,0
688549,M,N,25,0,344395.96,0,92.16666667,9.5,0,0,1,0
469981,M,N,29,0,214602.43,0,30.33333333,5,0,0,1,0
92610,M,N,28,-9920247,-8434514.41,0,120.3333333,3.666666667,1,0,0,0
654204,M,N,29,0,2693513.72,0,118.3333333,5,0,0,1,0
934655,M,N,23,0,-1098431.97,0,107.5,13,0,0,3,2
205263,M,N,25,0,3019718.33,0,68.5,4.2,0,0,2,0
776767,F,N,30,0,1542766.43,-32967741.93,700,2,0,0,1,0
421406,M,N,22,0,-344600.12,0,27.83333333,1.166666667,0,0,1,0
651605,M,N,24,-11020004,205797.68,0,102.3333333,2,0,0,0,0
357375,M,N,30,-15830000,8634288,0,45.5,3,0,0,1,0
59921,M,N,22,0,1502235.48,5000000,73.33333333,2,0,0,1,0
963206,M,N,39,0,9372233.79,-48387096.77,48.16666667,8.25,0,0,1,0
927208,F,N,27,0,0,0,30,0,0,0,0,0
189938,M,N,45,1500000000,129674776.4,0,56.83333333,3,1,1,1,0
746359,M,N,33,0,21194913.98,200000000,73.16666667,1,0,0,1,0
871743,F,N,24,0,2333528.27,0,61,3.6,0,0,1,0
476439,M,N,29,0,38709.68,0,51,0,0,0,0,0
631207,M,N,26,0,459897.11,0,41.25,0,0,0,1,0
599784,M,N,23,0,3375167.97,35333333.33,329.1666667,10.5,0,0,2,1
636867,F,N,26,0,17291297.85,0,185.1666667,17.5,0,0,1,0
631145,M,N,33,0,1000000,204193548.4,86.83333333,0,0,0,1,0
884217,F,N,40,0,1899843.01,10000000,88.6,4,0,0,1,0
222663,F,N,34,-30210000,417482.32,0,33.16666667,0,0,0,0,0
104158,F,N,38,0,49676376.35,20315895.1,139.3333333,7,0,0,1,0
942677,M,N,36,0,853881.67,47634408.61,37,0,1,0,1,0
301814,M,N,24,0,39545539.78,0,183.5,3,0,0,1,0
798748,M,N,21,0,69038750.54,0,195.1666667,10.33333333,0,0,1,0
561544,M,N,29,-30360000,1631489.24,0,54.2,1,1,0,0,0
719552,M,N,41,-32380000,-370849.56,0,47,0,1,0,0,0
646686,M,N,25,-20625000,72717.18,0,74.33333333,0,0,0,0,0
459578,M,N,49,0,-8097920.65,0,30.4,1,0,0,0,0
925791,M,N,46,0,-5153135.48,0,45.5,1,0,0,0,0
711258,M,N,31,-20835000,-3485441.55,-232258064.5,183.6666667,2,0,0,0,0
281760,F,N,29,0,-5225603.61,0,113.5,7.4,0,0,1,0
24778,F,N,34,-20420000,-3340688.92,0,77.33333333,2.833333333,0,0,0,0
369803,F,N,38,0,38709.68,0,21,1,0,0,0,0
769007,F,N,25,0,223212.84,0,87.5,11.66666667,1,1,1,0
300749,M,N,44,0,-55608.81,0,23,0,0,0,0,0
683516,M,N,37,0,17610431.12,26297227.21,82.33333333,3.5,0,0,1,0
507839,M,N,18,0,-2773116.67,0,191,17.16666667,0,0,1,0
607162,F,N,23,0,-756727.1,0,77,2,0,0,1,0
667198,F,N,23,0,-1362766.36,0,43.6,2.5,0,0,1,0
808432,M,N,26,0,9757435.85,0,179.5,7,0,0,1,0
469737,F,N,29,18798406,3063362.52,0,54.5,2.5,1,0,1,1
332022,M,N,28,0,1149997.85,220000000,202.1666667,0,0,0,1,0
836050,M,N,23,0,-25687.88,0,106.1666667,2.666666667,0,0,1,0
752111,M,N,32,0,2711716.13,0,59.6,1.333333333,0,0,1,0
183785,F,N,24,0,-34364913.97,0,79.5,11.33333333,1,1,1,0
158618,F,N,26,0,-5046599.12,0,64.2,3,0,0,0,0
685854,M,N,27,0,27512459.14,0,214.8333333,6.6,0,0,1,0
235567,F,N,28,-21468100,1969256.58,0,569.3333333,4.25,1,0,1,0
324180,M,N,38,1452770000,-25512600.48,0,47,3.666666667,1,1,1,1
247615,F,N,24,0,14881.72,0,83,8.166666667,0,0,0,0
72209,M,N,19,0,762323.22,0,120.8333333,4,0,0,1,0
373755,F,N,20,0,-1672978.49,0,35.8,1.333333333,0,0,1,0
124590,M,N,18,0,314568.33,0,144.8333333,8.4,0,0,1,0
825925,M,N,29,0,81405.48,135483871,126.5,1,0,0,1,0
605065,F,N,19,0,-181052.68,0,81.33333333,2.333333333,0,0,1,0
545921,M,N,33,27150000,-7216228.59,0,47.83333333,1.8,1,1,0,0
513596,M,N,40,0,-30933.33,0,44.66666667,2.5,0,0,1,0
547582,M,N,36,-13480560,-329206.5,0,123.3333333,2.6,1,0,0,0
912038,F,N,22,0,-746921.11,2000000,93.5,9,0,0,1,0
669101,F,N,25,0,10201469.4,0,81.5,7.4,1,1,2,1
232253,F,N,37,-41665000,30993997.03,0,69,0,0,0,1,0
455649,F,N,24,0,-2582038.89,4112903.23,112.5,5.833333333,0,0,1,0
762853,F,N,27,0,6611173.27,7669354.84,119.1666667,9.666666667,0,0,1,0
774268,F,N,24,0,-601028.84,0,108.5,2.4,0,0,2,1
515617,M,N,20,0,192255.06,0,26.6,3.5,0,0,1,0
298695,F,N,29,-5173616,-495919.02,0,55.8,3,0,0,0,0
823106,M,N,29,0,1332440.54,0,39.16666667,1.8,0,0,1,0
647320,M,N,38,-32910607,6341700.52,0,232.3333333,5.25,1,0,0,0
188045,M,N,30,0,4761596.27,0,75.16666667,3.5,0,0,1,0
331043,F,N,27,0,2402926.63,0,83.83333333,5,0,0,1,0
351727,F,N,27,0,2904655.02,0,62.83333333,3,0,0,1,0
715782,M,N,25,0,2659532.48,866666.66,119,6.6,0,0,1,0
926781,F,N,27,0,-627177.9,0,99.16666667,2,0,0,1,0
541251,M,N,26,0,160737.64,0,856.3333333,97,0,0,1,0
393738,M,N,26,0,536100,0,122,5.4,0,0,1,0
141829,F,N,26,0,3800672.85,0,107.6666667,9.166666667,0,0,1,0
694845,F,N,25,0,1168716.13,0,69.33333333,3.833333333,0,0,1,0
688040,M,N,36,-29200000,-2980957.37,0,60,3.5,0,0,0,0
968474,M,Y,26,0,2695084,0,106.8333333,8,1,1,1,0
797075,F,Y,23,149000,2492541.18,0,285.1666667,18.83333333,1,1,1,0
325615,M,N,42,-25500000,191805.1,0,58.16666667,0,0,0,1,1
589762,F,N,31,-35064670,-1235461.47,0,114.1666667,2,1,0,0,0
575283,M,N,25,0,-699331.89,0,322.6666667,25.5,0,0,1,0
325742,F,N,29,0,1486274.93,0,109.6666667,6.166666667,0,0,1,0
571854,F,Y,31,-22018904,-6096.77,0,75,0,1,0,0,0
554283,F,N,19,0,2162598.65,0,296.1666667,8,0,0,1,0
38817,M,N,37,-8864779,10357438.71,0,209.3333333,7.4,1,0,0,0
338461,M,N,40,0,-84864076.35,224759173.1,54.8,0,0,0,1,0
867476,F,N,24,0,1475727.9,0,40.25,9.5,0,0,1,0
505427,M,N,19,0,-415047.16,0,63.66666667,5.666666667,0,0,1,0
26441,F,N,41,0,0,451612.9,31.2,0,0,0,0,0
897523,M,N,32,0,-240097.85,0,79,6.25,0,0,1,0
58730,F,N,36,0,-359223.7,49435483.87,324.5,2.5,0,0,1,0
734428,F,N,27,0,-822565.59,0,24.2,3.4,0,0,0,0
579322,F,N,29,0,25538765.81,0,30,3.5,0,0,1,0
949306,F,N,34,0,-32587449.46,0,291,32.66666667,0,0,0,0
658657,M,N,26,0,-2325320.7,0,334.3333333,13.5,1,0,1,0
930611,F,N,26,-350000000,68333387.37,-38709677.42,166.8333333,6.333333333,0,0,0,0
337236,M,N,29,-10618000,0,0,55,0,1,0,0,0
152980,M,Y,26,0,156832420.7,0,94.66666667,5,0,0,1,0
76376,M,N,45,6740244,26526637.16,0,48.66666667,1.5,1,0,2,1
368388,M,Y,25,0,110307.32,0,122,5.6,0,0,1,0
928118,M,N,32,0,75397931.13,-1291935484,80,5.2,0,0,1,0
120253,M,Y,25,0,1795879.32,0,66.16666667,5.166666667,1,1,1,0
942494,M,N,45,-3232077,143749.93,0,72.83333333,1.333333333,0,0,0,0
381353,M,N,29,0,20512556.45,0,232.5,10.66666667,0,0,1,0
437827,F,N,24,0,19972455.86,0,58.6,3.666666667,0,0,2,1
405463,F,N,31,0,4178992.59,0,50.6,3,0,0,1,1
650896,M,N,30,1361599,-28764052.72,138709677.4,71.5,2.2,1,0,0,0
324128,M,N,30,-24555000,-2589822.2,5000000,124.8333333,4.666666667,1,0,0,0
450085,M,N,32,620196125,114061510.5,0,153.6666667,6.6,1,0,0,0
405953,F,N,19,0,-6600726.88,0,114.75,10.33333333,0,0,1,0
